Timestep,poi_abc_1,poi_abc_11,poi_abc_12,poi_abc_13,poi_abc_14,poi_abc_15,poi_abc_16,poi_abc_17,poi_abc_3,poi_abc_4,poi_abc_5,poi_abc_6,poi_abc_7,poi_abc_8,poi_abc_9
61368,30,42,110,0,104,10,0,176,4,0,18,30,0,2,68
61369,30,44,110,0,104,8,0,176,4,0,20,30,0,4,68
61370,30,44,112,0,106,8,0,174,4,0,20,30,0,4,68
61371,30,44,110,0,104,8,0,170,4,0,22,30,0,4,66
61372,30,44,112,0,104,6,0,170,4,0,24,32,0,4,64
61373,30,44,112,0,102,6,0,170,4,0,24,32,0,4,64
61374,30,44,114,0,98,4,0,172,4,0,24,36,0,4,62
61375,30,44,114,0,94,6,0,176,4,0,22,34,0,4,62
61376,30,46,112,0,94,6,0,178,4,0,20,38,0,4,60
61377,30,46,112,0,94,4,0,180,4,0,20,36,0,4,58
61378,30,46,110,0,96,2,0,182,4,0,18,38,0,4,58
61379,30,46,108,0,96,2,0,186,4,0,18,36,0,4,56
61380,30,46,108,0,94,2,0,184,4,0,16,40,0,4,58
61381,30,48,108,0,94,2,0,182,4,0,14,42,0,4,58
61382,30,48,108,0,96,2,0,178,4,0,14,42,0,4,58
61383,30,48,108,0,94,2,0,182,4,0,14,42,0,4,56
61384,30,48,106,0,96,2,0,182,4,0,14,44,0,4,56
61385,34,48,106,0,94,2,0,184,0,0,14,44,0,6,56
61386,30,48,108,0,96,2,0,180,4,0,16,46,0,6,56
61387,30,48,108,0,96,2,0,180,4,0,16,50,0,6,56
61388,26,48,108,0,94,2,0,184,8,0,16,52,0,6,56
61389,24,48,108,0,96,2,0,180,10,0,14,54,0,8,56
61390,24,48,108,0,94,2,0,182,10,0,14,54,0,8,56
61391,24,48,108,0,96,2,0,180,10,0,14,50,0,10,56
61392,24,50,108,0,96,0,0,178,10,0,14,50,0,10,56
61393,26,48,110,0,96,0,0,178,10,0,12,48,0,12,54
61394,26,48,110,0,106,0,0,180,10,0,10,44,0,14,48
61395,28,48,108,0,108,0,0,184,10,0,10,42,0,14,46
61396,30,48,110,0,114,0,0,182,10,0,8,36,0,16,42
61397,30,48,112,0,110,0,0,186,6,0,8,34,0,16,42
61398,32,48,110,0,112,0,0,186,4,0,12,36,0,14,38
61399,32,48,106,0,114,4,0,188,2,0,14,36,0,12,38
61400,36,48,98,0,116,6,0,196,0,0,14,34,0,12,32
61401,36,48,98,0,118,8,0,198,0,0,14,32,0,12,30
61402,38,48,94,0,118,10,0,204,0,0,12,32,0,12,24
61403,36,48,94,0,116,12,0,204,0,0,12,30,0,12,28
61404,38,46,92,0,118,16,0,202,0,0,12,26,0,12,26
61405,34,46,92,0,122,16,0,200,0,0,12,26,0,12,28
61406,34,42,98,0,124,18,0,196,0,0,12,26,0,12,28
61407,30,42,96,0,126,20,0,198,0,0,12,24,0,12,30
61408,26,38,98,0,122,22,0,202,0,0,12,28,0,10,34
61409,26,38,98,0,126,24,0,202,0,0,14,24,0,10,34
61410,22,40,98,0,124,20,0,202,0,0,14,26,0,8,40
61411,22,38,100,0,120,22,0,200,0,0,12,28,0,10,40
61412,20,40,100,0,124,20,0,200,0,0,12,28,0,8,42
61413,20,40,102,0,124,18,0,200,2,0,14,28,0,8,42
61414,20,36,104,0,126,18,0,202,2,0,14,30,0,6,46
61415,20,36,102,0,126,18,0,202,2,0,14,34,0,4,46
61416,18,38,104,0,126,14,0,204,6,0,14,34,0,4,48
61417,16,38,108,0,122,12,0,204,8,0,14,36,0,4,50
61418,18,36,110,0,122,12,0,206,8,0,14,36,0,4,50
61419,14,38,110,0,118,10,0,208,10,0,14,36,0,4,54
61420,14,32,112,0,116,10,0,206,12,0,16,36,0,4,54
61421,12,32,110,0,112,12,0,210,14,0,16,36,0,4,56
61422,12,28,110,0,112,10,0,210,16,0,16,36,0,4,58
61423,12,26,110,0,112,12,0,210,18,0,14,36,0,2,60
61424,10,26,110,0,110,10,0,210,18,0,14,38,0,2,64
61425,8,26,110,0,110,12,0,214,22,0,12,36,0,2,62
61426,6,26,110,0,108,12,0,214,20,0,12,38,0,2,68
61427,8,26,110,0,106,12,0,214,18,0,12,36,0,2,70
61428,10,24,110,0,110,12,0,210,16,0,12,34,0,2,72
61429,10,24,112,0,114,12,0,206,16,0,12,34,0,0,70
61430,12,22,108,0,110,12,0,212,12,0,12,34,0,0,70
61431,12,24,110,0,116,12,0,208,10,0,14,32,0,0,68
61432,14,22,110,0,114,10,0,212,10,0,14,32,0,0,68
61433,14,24,108,0,114,10,0,212,6,0,14,32,0,0,68
61434,14,24,106,0,114,10,0,214,4,0,16,32,0,0,68
61435,14,24,108,0,112,8,0,214,2,0,14,34,0,0,68
61436,12,24,106,0,114,8,0,216,2,0,14,32,0,0,70
61437,12,24,108,0,110,6,0,222,2,0,12,34,0,0,70
61438,10,26,108,0,106,6,0,224,2,0,12,36,0,0,70
61439,10,28,110,0,106,2,0,226,0,0,12,36,0,0,72
61440,12,26,110,0,104,2,0,226,0,0,12,38,0,2,72
61441,12,26,112,0,104,0,0,228,0,0,12,38,0,2,70
61442,12,26,112,0,102,0,0,232,0,0,12,36,0,2,70
61443,14,24,112,0,106,0,0,232,0,0,12,36,0,2,70
61444,14,28,116,0,104,0,0,230,0,0,12,34,0,2,70
61445,12,30,116,0,106,0,0,232,0,0,12,32,0,2,72
61446,12,30,118,0,104,0,0,232,0,0,12,32,0,2,72
61447,12,32,120,0,108,0,0,228,0,0,12,28,0,2,70
61448,10,32,120,0,104,2,0,234,0,0,10,26,0,2,74
61449,10,34,122,0,106,2,0,232,0,0,10,24,0,2,74
61450,10,36,124,0,104,2,0,234,0,0,10,26,0,2,74
61451,10,36,126,0,106,2,0,236,0,0,12,26,0,2,74
61452,10,38,126,0,106,2,0,234,0,0,12,26,0,2,74
61453,10,38,126,0,108,2,0,228,0,0,12,26,0,2,74
61454,10,38,126,0,106,2,0,230,0,0,10,28,0,2,76
61455,10,40,128,0,106,2,0,228,0,0,12,28,0,2,76
61456,10,40,124,0,106,4,0,226,0,0,10,28,0,2,78
61457,10,42,126,0,106,4,0,228,0,0,12,26,0,2,78
61458,10,42,124,0,106,4,0,224,0,0,12,28,0,2,76
61459,10,42,126,0,106,4,0,222,0,0,14,28,0,2,76
61460,10,42,130,0,106,6,0,218,0,0,16,32,0,0,76
61461,12,42,132,0,108,4,0,218,0,0,18,30,0,0,74
61462,12,42,134,0,108,6,0,218,0,0,20,32,0,0,72
61463,12,42,134,0,106,6,0,218,0,0,20,34,0,0,72
61464,12,44,138,0,108,8,0,218,0,0,20,30,0,2,70
61465,12,44,140,0,104,8,0,214,0,0,22,34,0,2,70
61466,12,44,136,0,106,8,0,218,0,0,24,34,0,2,68
61467,12,44,136,0,100,10,0,224,0,0,24,34,0,2,68
61468,12,44,134,0,100,10,0,222,0,0,22,34,0,2,70
61469,12,46,134,0,96,10,0,226,0,0,22,34,0,2,68
61470,12,46,130,0,96,10,0,228,0,0,22,36,0,2,68
61471,12,46,130,0,90,12,0,228,0,0,22,42,0,2,68
61472,12,46,126,0,88,12,0,232,0,0,22,42,0,2,68
61473,12,46,124,0,88,12,0,230,0,0,20,48,0,4,66
61474,12,46,124,0,86,14,0,230,0,0,20,50,0,4,64
61475,12,46,122,0,88,14,0,224,0,0,20,54,0,4,64
61476,10,46,120,0,90,16,0,224,2,0,20,52,0,4,62
61477,10,46,120,0,92,16,0,220,2,0,18,54,0,4,64
61478,10,48,120,0,96,18,0,216,2,0,18,54,0,4,64
61479,10,48,120,0,94,16,0,220,2,0,18,52,0,4,62
61480,10,48,122,0,96,18,0,216,2,0,18,48,0,4,62
61481,10,48,124,0,98,16,0,212,2,0,18,44,0,4,64
61482,10,46,124,0,96,18,0,210,2,0,18,42,0,4,66
61483,12,46,124,0,98,18,0,214,2,0,18,42,0,4,62
61484,12,44,124,0,100,18,0,210,2,0,18,44,0,2,60
61485,14,42,124,0,98,16,0,218,2,0,18,46,0,2,58
61486,14,42,126,0,100,16,0,216,2,0,18,48,0,2,56
61487,16,42,128,0,98,14,0,224,0,0,18,48,0,2,54
61488,18,44,126,0,100,18,0,228,0,0,18,50,0,2,50
61489,18,44,126,0,104,18,0,228,0,0,18,46,0,0,48
61490,20,46,126,0,106,18,0,232,0,0,18,46,0,0,44
61491,24,44,126,0,108,20,0,232,0,0,18,46,0,0,40
61492,26,46,128,0,112,20,0,230,0,0,18,46,0,0,36
61493,26,46,128,0,112,18,0,234,0,0,18,44,0,0,34
61494,24,44,130,0,110,18,0,236,0,0,18,44,0,2,36
61495,24,44,130,0,114,22,0,238,0,0,18,40,0,2,34
61496,22,44,128,0,114,24,0,238,0,0,18,40,0,2,36
61497,20,44,128,0,114,26,0,242,0,0,18,40,0,4,36
61498,20,46,124,0,114,30,0,246,0,0,16,38,0,6,36
61499,20,48,126,0,110,28,0,244,0,0,16,38,0,4,36
61500,20,50,126,0,110,28,0,240,0,0,14,38,0,6,36
61501,20,52,128,0,108,26,0,238,0,0,12,38,0,8,36
61502,22,54,126,0,106,30,0,238,0,0,16,36,0,8,34
61503,22,56,124,0,108,30,0,236,0,0,14,34,0,10,34
61504,24,54,122,0,106,34,0,240,0,0,12,32,0,14,34
61505,28,52,120,0,106,36,0,240,0,0,14,32,0,14,32
61506,28,54,116,0,104,38,0,240,0,0,14,30,0,16,34
61507,28,52,116,0,104,38,0,238,2,0,14,28,0,16,34
61508,28,54,116,0,104,38,0,238,2,0,14,28,0,18,34
61509,26,58,116,0,104,36,0,238,2,0,14,30,0,20,36
61510,26,58,116,0,100,32,0,240,6,0,14,32,0,20,36
61511,22,62,114,0,100,32,0,240,8,0,14,34,0,20,38
61512,22,60,114,0,96,32,0,240,8,0,14,34,0,22,42
61513,20,64,114,0,94,30,0,240,10,0,14,34,0,24,42
61514,20,64,116,0,88,26,0,240,12,0,14,38,0,24,48
61515,18,66,116,0,82,26,0,242,16,0,14,38,0,24,48
61516,16,66,118,0,80,24,0,242,16,0,12,40,0,24,54
61517,14,66,116,0,74,24,0,246,14,0,12,42,0,24,56
61518,14,66,116,0,74,24,0,246,14,0,12,44,0,22,56
61519,16,66,116,0,72,22,0,248,14,0,12,44,0,22,58
61520,14,66,116,0,72,22,0,248,12,0,12,44,0,22,60
61521,18,64,116,0,74,22,0,246,10,0,12,46,0,20,60
61522,16,64,114,0,70,22,0,248,8,0,14,46,0,20,64
61523,14,66,114,0,76,20,0,240,6,0,14,48,0,18,66
61524,14,68,112,0,76,20,0,240,6,0,16,46,0,20,68
61525,12,72,116,0,78,16,0,232,2,0,16,48,0,18,70
61526,12,74,118,0,82,16,0,232,0,0,16,48,0,20,68
61527,10,76,118,0,86,14,0,234,0,0,16,50,0,18,68
61528,10,78,120,0,86,10,0,236,0,0,16,48,0,18,68
61529,10,78,122,0,86,10,0,238,0,0,16,50,0,16,70
61530,10,78,124,0,88,8,0,244,0,0,14,44,0,18,70
61531,10,80,122,0,90,8,0,244,0,0,12,40,0,20,70
61532,10,80,122,0,92,8,0,248,0,0,12,38,0,20,70
61533,10,82,122,0,96,10,0,254,0,0,12,38,0,20,68
61534,8,84,122,0,98,8,0,254,0,0,12,36,0,20,70
61535,8,84,122,0,100,10,0,256,0,0,12,32,0,20,70
61536,8,84,124,0,100,10,0,262,0,0,12,34,0,20,68
61537,8,86,126,0,100,10,0,262,2,0,12,36,0,20,66
61538,8,88,130,0,100,8,0,258,2,0,12,36,0,20,66
61539,8,90,136,0,104,8,0,256,2,0,10,32,0,20,66
61540,8,88,140,0,106,10,0,248,2,0,10,30,0,20,66
61541,10,84,140,0,110,12,0,246,2,0,10,30,0,20,64
61542,10,86,142,0,110,12,0,244,2,0,12,30,0,18,66
61543,10,84,144,0,110,12,0,240,2,0,14,30,0,18,64
61544,10,86,146,0,110,12,0,234,2,0,16,30,0,16,64
61545,10,86,148,0,108,10,0,230,2,0,18,30,0,16,64
61546,8,86,146,0,110,10,0,226,2,0,22,30,0,12,66
61547,8,86,148,0,110,8,0,224,2,0,22,30,0,12,66
61548,8,86,142,0,112,8,0,220,0,0,24,32,0,10,66
61549,8,86,144,0,112,10,0,220,0,0,24,34,0,8,66
61550,8,88,142,0,114,8,0,216,0,0,26,36,0,10,62
61551,8,88,142,0,116,10,0,214,0,0,26,34,0,10,62
61552,8,88,142,0,116,10,0,212,0,0,28,40,0,10,56
